commit	val_bpb	memory_gb	status	description
baseline	1.361947	7.7	keep	baseline: depth=6 n_embd=512 n_head=8 muon_lr=0.02 adamw_lr=3e-4
ba25f86	1.340819	7.7	keep	cosine LR decay with warmup (50 steps warmup, cosine to 10% of peak)
-	1.342387	7.2	discard	SwiGLU activation (8/3 hidden dim) — slower throughput, fewer steps
271192a	1.318876	7.4	keep	depth=4 n_embd=768 (wider-shallower model)
b9e2a19	1.313329	7.4	keep	fix cosine schedule TOTAL_STEPS=480 to match new arch
-	1.336583	7.4	discard	muon_lr=0.03 (too aggressive, overshoots)
75c349d	1.271283	7.4	keep	adamw_lr=1e-3 (3.3x increase, embeddings learn faster)
-	1.272672	8.3	discard	n_head=12 (no improvement, more memory)
f07f891	1.076188	7.8	keep	RoPE positional encoding (replaces learned wpe)
-	1.136614	10.9	discard	depth=6 with RoPE (too slow, only 342 steps)
-	1.149913	14.8	discard	batch_size=64 (halved steps, worse despite better per-step)
3ebfafa	1.069638	7.8	keep	weight_decay=0.01 (less regularization for short training)
